Timestamp, Engine Raw, Chassis Raw, Output
17621365930,1.65564,1.88203,1.81026
17622444778,1.59844,1.88767,2.01047
17623523478,1.68223,1.59441,1.71721
17624605937,1.78293,1.38816,1.36473
17625684637,1.7491,1.58152,1.48316
17626763392,1.64033,1.86672,1.86384
17627841851,1.58877,1.96904,2.04431
17628921125,1.67498,1.65322,1.74259
17629999084,1.79019,1.38655,1.33935
17631077840,1.78213,1.52754,1.36755
17632156706,1.66934,1.75796,1.76232
17633235758,1.59683,1.81113,2.01611
17634317735,1.65967,1.55332,1.79616
17635396287,1.78374,1.3801,1.36191
17636475931,1.80549,1.43811,1.28577
17637554613,1.68867,1.69189,1.69465
17638633072,1.59038,1.77729,2.03867
17639711994,1.61938,1.64758,1.93715
17640791083,1.74023,1.43167,1.51418
17641870171,1.78213,1.38574,1.36755
17642948630,1.7064,1.62825,1.63261
17644030497,1.61455,1.90781,1.95407
17645108937,1.62664,1.79824,1.91177
17646202211,1.73298,1.51223,1.53956
17647266985,1.77488,1.33901,1.39293
17648345963,1.69431,1.59763,1.67491
17649422829,1.621,1.89412,1.93151
17650500307,1.6355,1.90378,1.88076
17651577692,1.74668,1.53479,1.49162
17652653966,1.79583,1.31243,1.31961
17653735684,1.71848,1.5074,1.59031
17654829032,1.61213,1.81436,1.96253
17655887677,1.60891,1.88848,1.97381
17656963191,1.72896,1.6645,1.55366
17658042262,1.81355,1.48726,1.25758
17659121221,1.73782,1.61133,1.52264
17660200828,1.61858,1.74023,1.93997
17661279565,1.58877,1.76924,2.04431
17662357968,1.69189,1.53801,1.68337
17663436927,1.79502,1.32209,1.32243
17664520072,1.76118,1.55171,1.44086
17665598049,1.65,1.88606,1.83
17666676953,1.5928,1.92634,2.03021
17667755708,1.67578,1.68062,1.73977
17668834593,1.78132,1.34143,1.37037
17669913182,1.77971,1.46067,1.37601
17670992197,1.66853,1.88928,1.76514
17672071008,1.59683,2.09312,2.01611
17673149745,1.66289,1.78374,1.78488
17674232000,1.77327,1.45906,1.39857
17675311070,1.78132,1.52593,1.37037
17676389159,1.67498,1.84255,1.74259
17677467822,1.59199,1.96904,2.03303
17678546540,1.65,1.76521,1.83
17679625833,1.76602,1.40105,1.42395
17680719569,1.78938,1.3793,1.34217
17681783510,1.68545,1.72412,1.70593
17682862451,1.59038,1.97388,2.03867
17683944687,1.62664,1.70962,1.91177
17685023887,1.74426,1.42119,1.50008
17686103272,1.78132,1.43408,1.37037
17687179898,1.71848,1.72896,1.59031
17688256894,1.63228,1.96904,1.89204
17689334520,1.63711,1.81355,1.87512
17690412053,1.73621,1.48806,1.52828
17691489235,1.77971,1.34224,1.37601
17692566231,1.69431,1.65564,1.67491
17693670449,1.60327,1.92151,1.99355
17694721019,1.61616,1.92957,1.94843
17695799701,1.73459,1.61455,1.53392
17696877752,1.79341,1.41152,1.32807
17697957137,1.73057,1.47678,1.54802
17699035596,1.61616,1.71445,1.94843
17700114018,1.61052,1.85706,1.96817
17701193366,1.7217,1.76521,1.57904
17702271659,1.8071,1.54607,1.28013
17703350488,1.76118,1.51787,1.44086
17704432670,1.64355,1.6363,1.85256
17705511221,1.58796,1.78052,2.04713
17706590106,1.6782,1.71526,1.73131
17707668880,1.78777,1.52754,1.34781
17708747969,1.76521,1.46228,1.42677
17709826299,1.66289,1.53721,1.78488
17710905072,1.59844,1.64114,2.01047
17711983791,1.66772,1.69834,1.76796
17713061768,1.76843,1.62341,1.41549
17714144302,1.76038,1.48162,1.44368
17715236909,1.65645,1.75474,1.80744
17716303109,1.60811,1.81194,1.97663
17717380957,1.67256,1.70237,1.75105
17718460045,1.77971,1.4655,1.37601
17719538708,1.7781,1.58394,1.38165
17720617316,1.67659,1.73137,1.73695
17721696108,1.60005,1.79744,2.00483
17722774863,1.65967,1.61858,1.79616
17723856526,1.78213,1.54849,1.36755
17724931004,1.79019,1.68142,1.33935
17726009055,1.68223,1.82725,1.71721
17727086459,1.59199,1.81677,2.03303
17728163881,1.62583,1.56943,1.91459
17729241488,1.75312,1.42441,1.46906
17730317966,1.79341,1.52673,1.32807
17731395499,1.70801,1.77085,1.62697
17732471440,1.61455,1.85222,1.95407
17733549973,1.621,1.6782,1.93151
17734632691,1.74104,1.45181,1.51136
17735711706,1.79824,1.40991,1.31115
17736790258,1.71768,1.70237,1.59313
17737868495,1.61938,1.96743,1.93715
17738947231,1.61133,1.88284,1.96535
17740026153,1.72412,1.54607,1.57058
17741105298,1.79744,1.37527,1.31397
17742183627,1.73862,1.49048,1.51982
17743262068,1.62019,1.79824,1.93433
17744343916,1.59602,1.95132,2.01893
17745422856,1.71042,1.66531,1.61851
17746501427,1.80952,1.4655,1.27167
17747579497,1.75312,1.49773,1.46906
17748658234,1.6363,1.61294,1.87794
17749750971,1.59199,1.73057,2.03303
17750815874,1.67981,1.73218,1.72567
17751894222,1.77729,1.63147,1.38447
17752973848,1.76763,1.5783,1.41831
17754055622,1.68062,1.63711,1.72285
17755154025,1.621,1.62664,1.93151
17756232799,1.68062,1.62986,1.72285
17757310981,1.76602,1.48887,1.42395
17758389699,1.74426,1.5074,1.50008
17759468362,1.64678,1.71204,1.84128
17760548358,1.60972,1.80146,1.97099
17761625465,1.68062,1.6637,1.72285
17762701980,1.7781,1.46792,1.38165
17763806142,1.76763,1.47114,1.41831
17764856602,1.66128,1.76843,1.79052
17765934764,1.59602,1.98193,2.01893
17767011742,1.66772,1.7072,1.76796
17768089479,1.78293,1.38977,1.36473
17769165568,1.7926,1.45986,1.33089
17770244268,1.68384,1.74829,1.71157
17771323727,1.59199,1.91184,2.03303
17772401927,1.63228,1.68464,1.89204
17773480330,1.75957,1.44294,1.4465
17774562511,1.80388,1.40024,1.29141
17775641248,1.70801,1.70962,1.62697
17776720170,1.60891,1.97791,1.97381
17777798648,1.61616,1.81919,1.94843
17778877107,1.73621,1.52432,1.52828
17779957177,1.79019,1.33821,1.33935
17781036062,1.7064,1.53157,1.63261
