Timestamp, Input Raw, Input Filtered, Output, Error
6332704522,0.319011,0.0546886,-0.0549516,0.0282088
6333784241,0.165897,0.0571062,-0.0470827,0.0321687
6334847518,-0.129853,0.0337363,0.0201525,0.0287612
6335924831,-0.257179,0.0111721,0.0775647,0.0241802
6337005198,-0.0984249,0.0103663,0.0677052,0.0210097
6338069142,0.198132,0.0337363,0.000490867,0.0240782
6339153120,0.316593,0.0563003,-0.0552711,0.0291145
6340216620,0.156227,0.0554945,-0.0438369,0.0312334
6341292710,-0.15,0.0313187,0.0236496,0.0274242
6342367652,-0.257985,0.00875455,0.078626,0.0218904
6343433151,-0.0637729,0.0111721,0.0650887,0.0208072
6344517000,0.228755,0.0361538,-0.00394795,0.0252879
6345587591,0.311758,0.057912,-0.057367,0.0304314
6346664570,0.136886,0.0563003,-0.0407494,0.0330122
6347735809,-0.169341,0.0313187,0.0285714,0.0288427
6348807178,-0.256374,0.00875455,0.0791164,0.0224353
6349889897,-0.0589377,0.0103663,0.0608997,0.01914
6350974023,0.228755,0.035348,-0.00880413,0.0232203
6352044374,0.312564,0.0563003,-0.058583,0.0287243
6353120205,0.121575,0.0530769,-0.0381241,0.0311359
6354194591,-0.183846,0.0272893,0.0324657,0.0264862
6355259202,-0.239451,0.00714284,0.08074,0.0214196
6356330293,-0.0291209,0.011978,0.0577726,0.019981
6357399162,0.251319,0.0377656,-0.0137186,0.0244291
6358484862,0.302894,0.057912,-0.0591426,0.0299817
6359554731,0.0949817,0.0530769,-0.0330647,0.0321014
6360631821,-0.186264,0.0272893,0.0374312,0.0277358
6361704430,-0.241062,0.00794869,0.0807785,0.0222282
6362784372,-0.0202565,0.0143957,0.053758,0.0209057
6363855389,0.264212,0.0401831,-0.0180314,0.025277
6364926850,0.308535,0.0587179,-0.0597379,0.0306153
6366009217,0.0611356,0.0506594,-0.0296473,0.0309274
6367078716,-0.199963,0.0248718,0.0421281,0.0267325
6368155473,-0.246703,0.00553113,0.0824732,0.0200244
6369220046,-0.00655681,0.0135898,0.0504645,0.0189147
